epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,188.971,0.89388,1.60703,0.98763,0.97442,0.9427,0.97664,0.76442,0.74787,0.64396,0.92499,0.0033232,0.0033232,0.0033232
2,367.332,0.84216,0.66677,0.95502,0.95821,0.93881,0.97497,0.76027,0.77325,0.61332,0.94702,0.00663457,0.00663457,0.00663457
3,548.769,0.87361,0.56847,0.9826,0.95754,0.92856,0.97097,0.74205,0.83479,0.65888,1.0381,0.00992394,0.00992394,0.00992394
4,724.619,0.85992,0.52333,0.99539,0.95063,0.9386,0.97396,0.76697,0.77796,0.48216,0.99434,0.009901,0.009901,0.009901
5,904.296,0.81851,0.47949,0.98354,0.96974,0.93471,0.97665,0.77529,0.77272,0.4288,0.98489,0.009868,0.009868,0.009868
6,1080.37,0.79133,0.45175,0.97727,0.97176,0.93703,0.97914,0.76583,0.79974,0.43104,0.99616,0.009835,0.009835,0.009835
7,1256.4,0.77296,0.43451,0.97077,0.96447,0.94105,0.98047,0.79964,0.70258,0.39408,0.95244,0.009802,0.009802,0.009802
8,1434.39,0.76222,0.42169,0.96576,0.97798,0.9518,0.98468,0.79564,0.72567,0.37902,0.9596,0.009769,0.009769,0.009769
9,1609.19,0.75123,0.41115,0.96205,0.97669,0.95982,0.98706,0.81026,0.68036,0.35755,0.94637,0.009736,0.009736,0.009736
10,1789.28,0.74634,0.40416,0.96178,0.97896,0.95763,0.9885,0.81288,0.68147,0.35286,0.94732,0.009703,0.009703,0.009703
11,1966.24,0.73919,0.39992,0.95942,0.97636,0.95842,0.98786,0.80457,0.70909,0.35613,0.95273,0.00967,0.00967,0.00967
12,2143.8,0.7351,0.39244,0.95552,0.9694,0.95681,0.9871,0.8135,0.67495,0.34589,0.93807,0.009637,0.009637,0.009637
13,2322.02,0.73039,0.39001,0.95302,0.97773,0.96264,0.98989,0.82754,0.6585,0.32907,0.93354,0.009604,0.009604,0.009604
14,2502.14,0.72397,0.38563,0.95322,0.97196,0.94669,0.9852,0.82099,0.65983,0.34695,0.92917,0.009571,0.009571,0.009571
15,2676.6,0.72024,0.38321,0.95045,0.98254,0.96336,0.99026,0.82318,0.67336,0.33218,0.93695,0.009538,0.009538,0.009538
16,2852.21,0.72111,0.37949,0.95034,0.97951,0.96388,0.99076,0.81889,0.67644,0.32403,0.93734,0.009505,0.009505,0.009505
17,3029.92,0.71845,0.37943,0.94942,0.97925,0.96829,0.99138,0.80852,0.6882,0.32339,0.94255,0.009472,0.009472,0.009472
18,3206.52,0.71225,0.37445,0.9466,0.97952,0.96772,0.99147,0.82294,0.6614,0.31297,0.9335,0.009439,0.009439,0.009439
19,3377.12,0.71343,0.3734,0.94723,0.98184,0.96866,0.99184,0.82793,0.6659,0.30883,0.93433,0.009406,0.009406,0.009406
20,3554.39,0.71051,0.37111,0.94642,0.98452,0.96781,0.9918,0.82698,0.67506,0.30941,0.9368,0.009373,0.009373,0.009373
21,3725.32,0.70846,0.36787,0.94499,0.97841,0.97397,0.99214,0.8337,0.63996,0.29968,0.92403,0.00934,0.00934,0.00934
22,3903.42,0.70689,0.3675,0.94599,0.98106,0.97101,0.99238,0.83437,0.63315,0.29647,0.9195,0.009307,0.009307,0.009307
23,4075.53,0.70343,0.36448,0.94392,0.97975,0.97188,0.99223,0.83605,0.63173,0.29137,0.91751,0.009274,0.009274,0.009274
24,4254.58,0.70107,0.36128,0.94229,0.97954,0.97202,0.99227,0.83708,0.62554,0.28912,0.91499,0.009241,0.009241,0.009241
25,4432.5,0.70201,0.36232,0.94364,0.98173,0.96958,0.99239,0.83097,0.6505,0.2926,0.92599,0.009208,0.009208,0.009208
26,4610.03,0.69891,0.36129,0.94278,0.98301,0.97156,0.99284,0.83939,0.62512,0.28541,0.91484,0.009175,0.009175,0.009175
27,4787.3,0.69678,0.35872,0.94009,0.98263,0.9722,0.99264,0.83604,0.63366,0.28456,0.91867,0.009142,0.009142,0.009142
28,4965.14,0.69363,0.35835,0.93901,0.98316,0.97078,0.99272,0.83546,0.6333,0.28518,0.91766,0.009109,0.009109,0.009109
29,5143.14,0.69831,0.35899,0.94054,0.9835,0.97298,0.99299,0.83839,0.62827,0.28164,0.91707,0.009076,0.009076,0.009076
30,5322.72,0.69598,0.35883,0.93982,0.98437,0.97085,0.99297,0.83929,0.6218,0.27976,0.91419,0.009043,0.009043,0.009043
31,5504.04,0.69502,0.35866,0.9403,0.98047,0.97227,0.99261,0.83548,0.63014,0.28157,0.91796,0.00901,0.00901,0.00901
32,5681.31,0.69533,0.35572,0.93999,0.98023,0.97484,0.99279,0.84059,0.61634,0.27592,0.91229,0.008977,0.008977,0.008977
33,5859.04,0.68926,0.35241,0.93766,0.98188,0.97344,0.99297,0.8364,0.62472,0.27663,0.91528,0.008944,0.008944,0.008944
34,6036.59,0.69521,0.35437,0.93965,0.98274,0.97227,0.9931,0.83777,0.62655,0.27468,0.91617,0.008911,0.008911,0.008911
35,6216.15,0.69341,0.35575,0.93761,0.98366,0.9722,0.99314,0.83972,0.62223,0.27372,0.91427,0.008878,0.008878,0.008878
36,6393.21,0.69145,0.35335,0.93795,0.9834,0.97233,0.99316,0.83994,0.62128,0.27172,0.9138,0.008845,0.008845,0.008845
37,6570,0.68805,0.34888,0.93706,0.98356,0.97298,0.99309,0.84138,0.61933,0.27046,0.91321,0.008812,0.008812,0.008812
38,6746.71,0.68843,0.35043,0.93702,0.98349,0.97317,0.99309,0.84094,0.62028,0.271,0.91367,0.008779,0.008779,0.008779
39,6924.11,0.6909,0.3523,0.93837,0.9828,0.97417,0.99306,0.84075,0.61924,0.27092,0.91265,0.008746,0.008746,0.008746
40,7101.86,0.68802,0.34956,0.93749,0.98145,0.97489,0.99303,0.84177,0.61934,0.27074,0.91222,0.008713,0.008713,0.008713
41,7279.88,0.68677,0.35037,0.93588,0.98285,0.97418,0.99304,0.84079,0.62051,0.27104,0.91243,0.00868,0.00868,0.00868
42,7457.77,0.68732,0.34991,0.93612,0.98295,0.97361,0.99303,0.84143,0.61846,0.27026,0.9116,0.008647,0.008647,0.008647
43,7634.76,0.68277,0.34666,0.93403,0.98082,0.97673,0.99307,0.8409,0.62041,0.26979,0.91216,0.008614,0.008614,0.008614
44,7803.61,0.68257,0.34697,0.93296,0.981,0.97637,0.9931,0.84012,0.62153,0.26904,0.91269,0.008581,0.008581,0.008581
45,7976.37,0.68231,0.34642,0.93555,0.9828,0.97416,0.99314,0.8391,0.6215,0.26907,0.91288,0.008548,0.008548,0.008548
46,8156.14,0.68254,0.34603,0.93482,0.98082,0.97676,0.99317,0.83989,0.6222,0.26857,0.91318,0.008515,0.008515,0.008515
47,8332.34,0.68144,0.34376,0.93403,0.98095,0.97617,0.99317,0.84018,0.62132,0.268,0.91261,0.008482,0.008482,0.008482
48,8511.36,0.67996,0.34617,0.93411,0.98515,0.97206,0.99314,0.84022,0.62047,0.26755,0.91216,0.008449,0.008449,0.008449
49,8687.6,0.67974,0.34694,0.9351,0.98585,0.97199,0.99314,0.84,0.62105,0.26771,0.91221,0.008416,0.008416,0.008416
50,8864.87,0.67873,0.34396,0.93218,0.98513,0.97269,0.99312,0.84073,0.61947,0.26688,0.91163,0.008383,0.008383,0.008383
51,9040.97,0.6799,0.3427,0.93258,0.98461,0.97306,0.99313,0.84068,0.61951,0.26656,0.91154,0.00835,0.00835,0.00835
52,9218.22,0.67968,0.34436,0.93306,0.98441,0.97376,0.99309,0.84111,0.61944,0.26641,0.9115,0.008317,0.008317,0.008317
53,9395.28,0.68033,0.34498,0.93223,0.98418,0.97347,0.99306,0.84157,0.61893,0.26592,0.91125,0.008284,0.008284,0.008284
54,9572.84,0.67668,0.34342,0.93086,0.98538,0.97235,0.9931,0.84154,0.61765,0.26572,0.91084,0.008251,0.008251,0.008251
55,9750.5,0.67503,0.34035,0.9299,0.98552,0.97228,0.99314,0.84191,0.61789,0.26577,0.91097,0.008218,0.008218,0.008218
56,9928.96,0.67821,0.34261,0.93263,0.98587,0.97209,0.99317,0.84094,0.61896,0.2659,0.91135,0.008185,0.008185,0.008185
57,10105.8,0.6771,0.34069,0.93235,0.986,0.97177,0.99319,0.84122,0.61901,0.2658,0.91142,0.008152,0.008152,0.008152
